train/circ,valid/circ,test/circ,parameters,train/loss,valid/loss,train/acc,valid/acc,test/acc,test/train
5,15,11,110,0.0837,0.8123,100.0,53.33,36.363637,2.2
6,30,25,119,0.0883,0.9484,100.0,53.33,40.0,4.166666666666667
7,32,26,125,0.1685,0.858,100.0,56.25,42.307693,3.7142857142857144
8,54,46,137,0.195,0.8371,87.5,57.410000000000004,60.86956,5.75
9,54,46,137,0.1228,0.8201,100.0,53.7,56.52174,5.111111111111111
10,54,46,137,0.2015,0.8671,90.0,50.0,58.69565,4.6
11,54,46,137,0.1377,0.8231,100.0,57.410000000000004,54.34782500000001,4.181818181818182
12,57,49,140,0.1645,0.776,100.0,57.89,59.183675,4.083333333333333
13,57,49,140,0.12,0.7237,100.0,54.39000000000001,61.224489999999996,3.769230769230769
14,57,49,140,0.1311,0.7024,100.0,59.650000000000006,61.224489999999996,3.5
15,61,52,143,0.1426,0.6387,100.0,63.93,67.30769,3.466666666666667
16,75,68,175,0.1566,0.6128,100.0,65.33,66.17647,4.25
17,75,68,175,0.1005,0.6176,100.0,66.67,64.705884,4.0
18,75,68,175,0.0687,0.6526,100.0,69.33,64.705884,3.7777777777777777
19,75,68,175,0.0865,0.6965,100.0,68.0,66.17647,3.5789473684210527
20,75,68,175,0.0745,0.7175,100.0,69.33,64.705884,3.4
21,75,68,175,0.086,0.7941,100.0,64.0,64.705884,3.238095238095238
22,75,68,175,0.0637,0.8481,100.0,65.33,64.705884,3.090909090909091
23,76,71,187,0.0542,0.8083,100.0,63.160000000000004,63.380283000000006,3.0869565217391304
24,76,71,187,0.0754,0.858,100.0,67.11,66.19718,2.9583333333333335
25,76,71,187,0.0983,0.8472,100.0,68.42,64.788735,2.84
26,78,75,190,0.1111,0.7947,96.15,70.50999999999999,61.333333999999994,2.8846153846153846
27,78,75,190,0.1054,0.777,96.3,71.78999999999999,65.33333,2.7777777777777777
28,78,75,190,0.118,0.7196,96.43,74.36,65.33333,2.6785714285714284
29,78,75,190,0.0943,0.7275,96.55,75.64,72.0,2.586206896551724
30,81,80,199,0.1082,0.7403,96.67,72.84,73.75,2.6666666666666665
31,81,80,199,0.1726,0.563,96.77,70.37,72.5,2.5806451612903225
32,81,80,199,0.1666,0.5564,96.88,70.37,75.0,2.5
33,81,81,202,0.1213,0.5604,96.97,70.37,75.308645,2.4545454545454546
34,81,81,202,0.1275,0.5465,97.06,72.84,75.308645,2.3823529411764706
35,81,81,202,0.1682,0.4833,94.28999999999999,75.31,77.77777999999999,2.3142857142857145
36,86,86,205,0.1654,0.4985,97.22,75.58,77.90698,2.388888888888889
36,86,86,205,0.1677,0.5098,94.44,75.58,77.90698,2.388888888888889
37,86,86,205,0.1635,0.5162,97.3,74.42,77.90698,2.324324324324324
38,86,86,205,0.1694,0.5285,97.37,74.42,77.90698,2.263157894736842
39,86,86,205,0.1586,0.5469,97.44,73.26,79.06976999999999,2.2051282051282053
40,87,86,208,0.1745,0.5807,97.5,72.41,77.90698,2.15
41,87,86,208,0.1939,0.5607,95.12,73.56,73.255813,2.097560975609756
42,87,86,208,0.1966,0.5541,95.24000000000001,73.56,74.418604,2.0476190476190474
43,87,88,211,0.2016,0.54,95.35,74.71,76.13636,2.046511627906977
44,87,88,211,0.1955,0.5456,95.45,75.86,73.86364,2.0
45,87,88,211,0.1672,0.556,95.56,75.86,73.86364,1.9555555555555555
46,87,88,211,0.1623,0.5619,95.65,75.86,73.86364,1.9130434782608696
47,87,88,211,0.1645,0.5726,95.74000000000001,75.86,73.86364,1.872340425531915
48,87,88,211,0.1611,0.5825,95.83,75.86,72.727275,1.8333333333333333
49,87,88,211,0.1644,0.6074,95.92,74.71,73.86364,1.7959183673469388
50,87,88,211,0.1851,0.5976,96.0,74.71,73.86364,1.76
51,87,88,211,0.1741,0.6294,94.12,73.56,72.727275,1.7254901960784315
52,87,88,211,0.1726,0.6093,96.15,74.71,72.727275,1.6923076923076923
53,87,88,211,0.1672,0.6089,94.34,75.86,72.727275,1.6603773584905661
54,87,88,211,0.1547,0.6052,94.44,75.86,72.727275,1.6296296296296295
55,87,88,211,0.1716,0.5386,94.55,77.01,70.454544,1.6
56,87,88,211,0.1693,0.5149,94.64,79.31,70.454544,1.5714285714285714
57,98,98,214,0.1837,0.6306,92.97999999999999,74.49,70.408165,1.719298245614035
58,98,98,220,0.2051,0.6299,94.83,75.51,70.408165,1.6896551724137931
59,98,98,220,0.1939,0.634,94.92,73.47,71.428573,1.6610169491525424
60,98,98,220,0.2101,0.6025,90.0,73.47,72.44897999999999,1.6333333333333333
61,98,98,220,0.2215,0.547,95.08,73.47,71.428573,1.6065573770491803
62,98,98,220,0.2039,0.5623,95.16,72.45,71.428573,1.5806451612903225
63,98,98,220,0.2144,0.5593,95.24000000000001,74.49,71.428573,1.5555555555555556
64,98,98,220,0.2133,0.568,90.62,74.49,71.428573,1.53125
65,98,98,220,0.204,0.5697,92.31,74.49,73.46939,1.5076923076923077
66,98,98,220,0.2098,0.5684,95.45,75.51,73.46939,1.4848484848484849
67,98,98,220,0.2098,0.5673,92.54,75.51,73.46939,1.462686567164179
68,98,98,220,0.2232,0.5707,92.65,73.47,73.46939,1.4411764705882353
69,98,98,220,0.1791,0.5678,94.19999999999999,75.51,74.489796,1.4202898550724639
70,98,98,220,0.207,0.5622,91.43,74.49,74.489796,1.4
71,98,98,220,0.1903,0.5524,95.77,76.53,74.489796,1.380281690140845
72,98,98,220,0.2082,0.5531,93.06,76.53,74.489796,1.3611111111111112
73,98,98,220,0.1818,0.5775,95.89,78.57,75.510204,1.3424657534246576
74,98,98,220,0.1925,0.5586,93.24,77.55,75.510204,1.3243243243243243
75,100,101,226,0.2053,0.5379,94.67,78.0,75.247526,1.3466666666666667
76,100,101,226,0.2115,0.5605,92.11,77.0,75.247526,1.3289473684210527
77,100,101,229,0.2236,0.5768,94.81,75.0,75.247526,1.3116883116883118
78,100,101,229,0.2239,0.6419,94.87,76.0,72.27723,1.294871794871795
79,100,101,229,0.214,0.6891,93.67,73.0,74.25743,1.2784810126582278
80,100,101,229,0.2006,0.6733,95.0,75.0,74.25743,1.2625
81,100,101,229,0.2027,0.6659,95.06,76.0,74.25743,1.2469135802469136
82,100,101,229,0.2367,0.6703,92.67999999999999,73.0,75.247526,1.2317073170731707
83,100,101,229,0.2129,0.679,92.77,71.0,76.237625,1.216867469879518
84,100,101,229,0.2112,0.6743,92.86,71.0,75.247526,1.2023809523809523
85,100,101,229,0.2189,0.694,95.28999999999999,70.0,75.247526,1.188235294117647
86,100,101,229,0.2367,0.694,93.02,69.0,74.25743,1.1744186046511629
87,100,101,229,0.2383,0.7027,90.8,69.0,74.25743,1.160919540229885
88,100,101,229,0.2352,0.7103,90.91,69.0,73.26733,1.1477272727272727
89,100,101,229,0.2273,0.7096,91.01,68.0,73.26733,1.1348314606741574
90,100,101,229,0.2514,0.6982,91.11,68.0,74.25743,1.1222222222222222
91,100,101,229,0.263,0.6866,92.31,69.0,73.26733,1.10989010989011
92,100,101,229,0.25,0.6967,93.47999999999999,69.0,73.26733,1.0978260869565217
93,100,101,229,0.243,0.7064,91.4,70.0,73.26733,1.086021505376344
94,100,101,229,0.225,0.6931,93.62,69.0,72.27723,1.074468085106383
95,100,101,229,0.2152,0.6855,95.78999999999999,70.0,72.27723,1.063157894736842
96,100,101,229,0.2215,0.6985,94.78999999999999,70.0,72.27723,1.0520833333333333
97,100,101,229,0.2403,0.7254,94.85,70.0,71.28713,1.041237113402062
98,100,101,229,0.2511,0.7109,90.82000000000001,69.0,71.28713,1.030612244897959
99,100,101,229,0.2505,0.7062,92.93,70.0,73.26733,1.02020202020202
100,100,101,229,0.2386,0.708,91.0,70.0,73.26733,1.01
101,100,101,229,0.2236,0.6898,94.06,70.0,75.247526,1.0
102,100,101,229,0.2415,0.6678,92.16,68.0,74.25743,0.9901960784313726
103,100,101,229,0.2542,0.6947,91.25999999999999,68.0,74.25743,0.9805825242718447
104,100,101,229,0.2469,0.6975,91.35,66.0,74.25743,0.9711538461538461
105,100,101,229,0.2655,0.6856,90.48,67.0,74.25743,0.9619047619047619
106,100,101,229,0.2559,0.6774,92.45,65.0,77.227724,0.9528301886792453
107,100,101,229,0.2474,0.6848,92.52,66.0,76.237625,0.9439252336448598
108,100,101,229,0.2697,0.6986,87.96000000000001,66.0,77.227724,0.9351851851851852
109,100,101,229,0.248,0.6843,89.91,68.0,77.227724,0.926605504587156
110,100,101,229,0.2489,0.6802,90.0,66.0,77.227724,0.9181818181818182
111,100,101,229,0.2586,0.681,91.89,68.0,77.227724,0.9099099099099099
112,100,101,229,0.2505,0.6915,89.29,67.0,77.227724,0.9017857142857143
113,100,101,229,0.2422,0.6848,90.27,67.0,77.227724,0.8938053097345132
114,100,101,229,0.2605,0.6775,90.35,70.0,77.227724,0.8859649122807017
115,100,101,229,0.2643,0.6799,91.3,69.0,77.227724,0.8782608695652174
116,100,101,229,0.2496,0.6798,90.52,70.0,77.227724,0.8706896551724138
117,100,101,229,0.2438,0.6853,90.60000000000001,70.0,77.227724,0.8632478632478633
118,100,101,229,0.2615,0.6906,88.14,70.0,77.227724,0.8559322033898306
119,100,101,229,0.2658,0.6981,88.24,70.0,77.227724,0.8487394957983193
120,100,101,229,0.271,0.6896,87.5,70.0,77.227724,0.8416666666666667
121,100,101,229,0.2822,0.6713,87.6,69.0,77.227724,0.8347107438016529
122,100,101,229,0.2788,0.689,89.34,69.0,76.237625,0.8278688524590164
123,100,101,229,0.2802,0.6908,89.42999999999999,67.0,75.247526,0.8211382113821138
124,100,101,229,0.2935,0.685,90.32,67.0,75.247526,0.8145161290322581
125,100,101,229,0.2743,0.685,89.60000000000001,66.0,75.247526,0.808
126,100,101,238,0.2842,0.66,89.68,67.0,75.247526,0.8015873015873016
127,100,101,238,0.2695,0.6722,89.75999999999999,69.0,75.247526,0.7952755905511811
128,100,101,238,0.2737,0.7192,88.28,67.0,75.247526,0.7890625
129,100,101,238,0.2638,0.7027,89.92,69.0,74.25743,0.7829457364341085
